generated_at	2026-03-26T02:25:51Z
publico_live	352
arquivo	142
internal	21
external	78

[publico_live]
https://publico.pt	index.html, metodologia/index.html, privacidade.html, termos.html
https://www.publico.pt	metodologia/index.html
https://www.publico.pt/	metodologia/index.html
https://www.publico.pt/2011/04/05/ciencia/noticia/britanico-que-luta-contra-desperdicio-de-comida-vence-premio-de-sustentabilidade-1488363	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/storyline.json, assets/data/storyline_bundled.json, assets/data/storyline_bundled_full.json
https://www.publico.pt/2012/06/04/sociedade/noticia/a-maior-lixeira-brasileira-a-ceu-aberto-foi-finalmente-encerrada-1548843	assets/data/corpus.json
https://www.publico.pt/2013/01/10/ecosfera/noticia/metade-da-comida-produzida-todos-os-anos-vai-para-o-lixo-1580254	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/storyline.json, assets/data/storyline_bundled.json, assets/data/storyline_bundled_full.json
https://www.publico.pt/2013/06/07/ecosfera/noticia/estamos-dispostos-a-comer-fruta-feia-para-reduzir-o-desperdicio-1596760	assets/data/featured.json
https://www.publico.pt/2013/06/07/mundo/noticia/papa-diz-que-comida-deitada-ao-lixo-e-alimento-roubado-aos-pobres-1596748	assets/data/corpus.json, assets/data/corpus_core.json
https://www.publico.pt/2013/10/11/economia/noticia/ja-ha-supermercados-na-europa-a-vender-fruta-e-legumes-feios-1608785	assets/data/featured.json
https://www.publico.pt/2014/04/14/p3/fotogaleria/a-arte-de-rua-esta-do-lado-de-escif-384163	assets/data/corpus.json
https://www.publico.pt/2014/05/23/p3/noticia/quando-uma-cenoura-feia-e-uma-sopa-feliz-1820227	assets/data/featured.json
https://www.publico.pt/2014/10/11/economia/noticia/cooperativa-ja-impediu-desperdicio-de-mais-de-50-toneladas-de-fruta-feia-1672596	assets/data/featured.json
https://www.publico.pt/2014/10/27/economia/entrevista/quando-deitamos-comida-fora-isso-faz-subir-os-precos-1674211	assets/data/featured.json
https://www.publico.pt/2014/12/07/sociedade/noticia/desperdicio-de-comida-no-campo-e-na-fabrica-da-para-encher-todos-os-caixotes-do-lixo-do-pais-1678521	assets/data/featured.json
https://www.publico.pt/2014/12/14/sociedade/noticia/ha-comida-que-so-nao-vai-para-o-lixo-porque-e-doada-1679069	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/storyline.json, assets/data/storyline_bundled.json, assets/data/storyline_bundled_full.json
https://www.publico.pt/2014/12/21/sociedade/noticia/o-que-ha-no-fundo-do-nosso-frigorifico-1679718	assets/data/corpus.json, assets/data/corpus_core.json, assets/data/storyline.json, assets/data/storyline_bundled.json, assets/data/storyline_bundled_full.json
https://www.publico.pt/2015/12/19/local/noticia/fruta-feia-expandese-para-o-porto-depois-de-evitar-200-toneladas-de-desperdicio-1717922	assets/data/featured.json
